TIMESTAMP             | TID   | EVENT | SIZE (KB) | CURRENT TID RSS (KB) | PFN | REQ_ID_PARAM
05:28:37.694912 | 200636 | ALLOC |      4.00 |                24.00 | 3512259 |                N/A
05:28:37.694976 | 200636 | ALLOC |      4.00 |                28.00 | 3512260 |                N/A
05:28:37.694988 | 200636 | ALLOC |      4.00 |                32.00 | 3512261 |                N/A
05:28:37.694996 | 200636 | ALLOC |      4.00 |                36.00 | 3512262 |                N/A
05:28:37.695037 | 200636 | ALLOC |      4.00 |                40.00 | 3512263 |                N/A
05:28:37.695195 | 200636 | ALLOC |     32.00 |                72.00 | 3571176 |                N/A
05:28:37.695700 | 200650 | ALLOC |      4.00 |                44.00 | 3512264 | 710051034486130816,419530427290733440,806621659014988672,391200338986263424,1026330485038806528,241083423082069984
05:28:37.694733 | 200633 | ALLOC |      4.00 |                 4.00 | 3368401 |                N/A
05:28:37.694738 | 200633 | ALLOC |      4.00 |                 8.00 | 3724414 |                N/A
05:28:37.694746 | 200633 | ALLOC |      4.00 |                12.00 | 3724415 |                N/A
05:28:37.694755 | 200633 | ALLOC |      4.00 |                16.00 | 3666318 |                N/A
05:28:37.694816 | 200633 | ALLOC |      4.00 |                20.00 | 3666319 |                N/A
05:28:37.694831 | 200633 | ALLOC |      4.00 |                24.00 | 3683190 |                N/A
05:28:37.694840 | 200633 | ALLOC |      4.00 |                28.00 | 3683191 |                N/A
05:28:37.694868 | 200633 | ALLOC |      4.00 |                32.00 | 3683196 |                N/A
05:28:37.695195 | 200633 | ALLOC |     32.00 |                64.00 | 3618664 |                N/A
05:28:37.694885 | 200632 | ALLOC |      4.00 |                28.00 | 3684304 | 386453419060398400
05:28:37.694906 | 200632 | ALLOC |      4.00 |                32.00 | 3684305 | 386453419060398400
05:28:37.694953 | 200632 | ALLOC |      4.00 |                36.00 | 3618150 | 386453419060398400
05:28:37.694956 | 200632 | ALLOC |      4.00 |                40.00 | 3684306 | 386453419060398400
05:28:37.694999 | 200632 | ALLOC |      4.00 |                44.00 | 3684307 | 386453419060398400
05:28:37.695388 | 200649 | ALLOC |      8.00 |                 8.00 | 3646158 | 644551850738674432,562017487517019520,273078355749895200,16721190419364752,903922250823434368
05:28:37.695399 | 200649 | ALLOC |      4.00 |                12.00 | 3573391 | 644551850738674432,562017487517019520,273078355749895200,16721190419364752,903922250823434368
05:28:37.695402 | 200649 | ALLOC |      4.00 |                16.00 | 3684308 | 644551850738674432,562017487517019520,273078355749895200,16721190419364752,903922250823434368
05:28:37.695417 | 200649 | ALLOC |      4.00 |                20.00 | 3684309 | 644551850738674432,562017487517019520,273078355749895200,16721190419364752,903922250823434368
05:28:37.695430 | 200649 | ALLOC |      4.00 |                24.00 | 3684310 | 644551850738674432,562017487517019520,273078355749895200,16721190419364752,903922250823434368
05:28:37.695478 | 200649 | ALLOC |      4.00 |                28.00 | 3684311 | 644551850738674432,562017487517019520,273078355749895200,16721190419364752,903922250823434368
05:28:37.695534 | 200649 | ALLOC |      4.00 |                32.00 | 3645624 | 644551850738674432,562017487517019520,273078355749895200,16721190419364752,903922250823434368
05:28:37.695537 | 200649 | ALLOC |      4.00 |                36.00 | 3671792 | 644551850738674432,562017487517019520,273078355749895200,16721190419364752,903922250823434368
05:28:37.695544 | 200649 | ALLOC |      4.00 |                40.00 | 3671793 | 644551850738674432,562017487517019520,273078355749895200,16721190419364752,903922250823434368
05:28:37.695568 | 200649 | ALLOC |      4.00 |                44.00 | 3519913 | 644551850738674432,562017487517019520,273078355749895200,16721190419364752,903922250823434368
05:28:37.695570 | 200649 | ALLOC |      4.00 |                48.00 | 3671794 | 644551850738674432,562017487517019520,273078355749895200,16721190419364752,903922250823434368
05:28:37.695625 | 200649 | ALLOC |      4.00 |                52.00 | 3671795 | 644551850738674432,562017487517019520,273078355749895200,16721190419364752,903922250823434368
05:28:37.695988 | 200651 | ALLOC |     32.00 |                60.00 | 3560424 |                N/A
05:28:37.696044 | 200657 | ALLOC |      4.00 |                 4.00 | 3671796 |                N/A
05:28:37.696089 | 200657 | ALLOC |      4.00 |                 8.00 | 3671797 |                N/A
05:28:37.696093 | 200657 | ALLOC |      4.00 |                12.00 | 3671798 |                N/A
05:28:37.696105 | 200657 | ALLOC |      4.00 |                16.00 | 3671799 |                N/A
05:28:37.696131 | 200657 | ALLOC |      4.00 |                20.00 | 3734344 |                N/A
05:28:37.696308 | 200657 | ALLOC |     32.00 |                52.00 | 3561224 |                N/A
05:28:37.696444 | 200667 | ALLOC |      8.00 |                 8.00 | 3567732 | 386453419060398400,653174923090909184,331213479527882560,87649271374118576,16721190419364752,706778826815226368,555477447468886912,903922250823434368
05:28:37.696463 | 200667 | ALLOC |      8.00 |                16.00 | 3468232 | 386453419060398400,653174923090909184,331213479527882560,87649271374118576,16721190419364752,706778826815226368,555477447468886912,903922250823434368
05:28:37.696477 | 200667 | ALLOC |      4.00 |                20.00 | 3566066 | 386453419060398400,653174923090909184,331213479527882560,87649271374118576,16721190419364752,706778826815226368,555477447468886912,903922250823434368
05:28:37.696495 | 200667 | ALLOC |      4.00 |                24.00 | 3734345 | 386453419060398400,653174923090909184,331213479527882560,87649271374118576,16721190419364752,706778826815226368,555477447468886912,903922250823434368
05:28:37.696535 | 200667 | ALLOC |      4.00 |                28.00 | 3734346 | 386453419060398400,653174923090909184,331213479527882560,87649271374118576,16721190419364752,706778826815226368,555477447468886912,903922250823434368
05:28:37.696577 | 200667 | ALLOC |      4.00 |                32.00 | 3734347 | 386453419060398400,653174923090909184,331213479527882560,87649271374118576,16721190419364752,706778826815226368,555477447468886912,903922250823434368
05:28:37.696608 | 200667 | ALLOC |     32.00 |                64.00 | 3606048 | 386453419060398400,653174923090909184,331213479527882560,87649271374118576,16721190419364752,706778826815226368,555477447468886912,903922250823434368
05:28:37.696716 | 200674 | ALLOC |      4.00 |                 4.00 | 3566067 | 806621659014988672,419530427290733440,331213479527882560,232095291636170656,809977241386262272,391200338986263424,1026330485038806528
05:28:37.696719 | 200674 | ALLOC |      4.00 |                 8.00 | 3734348 | 806621659014988672,419530427290733440,331213479527882560,232095291636170656,809977241386262272,391200338986263424,1026330485038806528
05:28:37.696737 | 200674 | ALLOC |      4.00 |                12.00 | 3734349 | 806621659014988672,419530427290733440,331213479527882560,232095291636170656,809977241386262272,391200338986263424,1026330485038806528
05:28:37.696750 | 200674 | ALLOC |      4.00 |                16.00 | 3734350 | 806621659014988672,419530427290733440,331213479527882560,232095291636170656,809977241386262272,391200338986263424,1026330485038806528
05:28:37.696761 | 200674 | ALLOC |     32.00 |                48.00 | 3561640 | 806621659014988672,419530427290733440,331213479527882560,232095291636170656,809977241386262272,391200338986263424,1026330485038806528
05:28:37.696810 | 200638 | ALLOC |      4.00 |                80.00 | 3734351 | 886041221535080576
05:28:37.694608 | 200631 | ALLOC |      8.00 |                 8.00 | 3550250 | 1026330485038806528
05:28:37.694618 | 200631 | ALLOC |      4.00 |                12.00 | 3573035 | 1026330485038806528
05:28:37.694622 | 200631 | ALLOC |      4.00 |                16.00 | 3733873 | 1026330485038806528
05:28:37.694639 | 200631 | ALLOC |      4.00 |                20.00 | 3733874 | 1026330485038806528
05:28:37.694650 | 200631 | ALLOC |      4.00 |                24.00 | 3733875 | 1026330485038806528
05:28:37.694665 | 200631 | ALLOC |      4.00 |                28.00 | 3559596 | 1026330485038806528
05:28:37.694667 | 200631 | ALLOC |      4.00 |                32.00 | 3733876 | 1026330485038806528
05:28:37.694775 | 200631 | ALLOC |      4.00 |                36.00 | 3733877 | 1026330485038806528
05:28:37.694809 | 200631 | ALLOC |      4.00 |                40.00 | 3548977 | 1026330485038806528
05:28:37.694812 | 200631 | ALLOC |      4.00 |                44.00 | 3733878 | 1026330485038806528
05:28:37.694832 | 200631 | ALLOC |      4.00 |                48.00 | 3733879 | 1026330485038806528
05:28:37.694860 | 200631 | ALLOC |      4.00 |                52.00 | 3644008 | 1026330485038806528
05:28:37.695678 | 200655 | ALLOC |      4.00 |                 4.00 | 3644009 |                N/A
05:28:37.695682 | 200655 | ALLOC |      4.00 |                 8.00 | 3733880 |                N/A
